datetime,temp,feelslike,humidity,precip,preciptype,windspeed,visibility,cloudcover,uvindex,icon
2011-03-29,-0.1,-1.6,55.3,0.0,,12.7,14.8,2.6,8,clear-day
2011-03-30,0.9,-0.3,51.3,0.0,,15.5,15.4,11.2,9,clear-day
2011-03-31,2.8,1.9,45.1,0.0,,16.2,15.9,25.7,8,partly-cloudy-day
2011-04-01,2.4,-0.2,70.1,5.307,"rain,snow",23.8,10.9,91.0,4,rain
2011-04-02,5.5,3.8,67.2,0.0,,24.0,13.8,54.8,8,partly-cloudy-day
2011-04-03,6.2,3.3,74.2,5.196,rain,32.2,11.8,97.3,4,rain
2011-04-04,5.5,2.2,72.5,1.605,rain,34.9,11.4,94.0,6,rain
2011-04-05,5.4,3.2,50.5,0.0,,21.1,16.0,42.4,9,partly-cloudy-day
2011-04-06,9.0,8.3,68.5,3.666,rain,15.4,13.5,69.7,4,rain
2011-04-07,7.7,6.4,73.2,0.0,,20.8,9.5,35.3,6,partly-cloudy-day
2011-04-08,8.3,6.3,76.8,0.527,rain,20.9,9.8,97.1,7,rain
2011-04-09,11.4,10.4,79.5,0.0,,16.1,6.4,70.6,8,partly-cloudy-day
2011-04-10,19.4,19.4,71.7,2.054,rain,29.3,8.5,37.6,8,rain
2011-04-11,12.4,12.1,60.2,0.0,,25.9,16.0,67.4,8,partly-cloudy-day
2011-04-12,9.4,8.8,55.6,0.0,,12.7,15.4,0.0,9,clear-day
2011-04-13,13.0,12.9,45.8,0.292,rain,24.3,15.2,21.6,6,rain
2011-04-14,5.2,1.1,75.6,0.297,rain,31.1,15.7,91.2,7,rain
2011-04-15,4.5,-1.0,67.9,5.315,rain,52.7,13.1,66.1,2,rain
2011-04-16,2.6,-2.0,83.8,3.664,"rain,snow",33.4,10.2,100.0,4,rain
2011-04-17,5.6,2.6,50.6,0.0,,27.0,16.0,45.8,9,partly-cloudy-day
2011-04-18,4.3,0.9,62.9,0.012,rain,20.9,15.9,89.2,7,rain
2011-04-19,1.3,-4.2,83.3,26.055,"rain,snow",38.0,7.2,99.9,5,rain
